Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season,Min,box_outs,def_box_outs,team_reb_pct,player_reb_pct,DFGM_2pt,DFA_2pt,DFG_pct_2pt,DFGM_3pt,DFA_3pt,DFG_pct_3pt,Deflections,off_LB,def_LB,charges,contested_shots,DPOY,First,Pts Won,Pts Max,Share,SPG,BPG,Deflections_rank,charges_rank,contested_shots_rank,BLK_rank,STL_rank,DBPM_rank,DFGM_rank,DFG_PCT_rank,DFG_pct_2pt_rank,DFG_pct_3pt_rank,average_rank,Rk,W,L,W/L%,DRB_x,tm_BLK,tm_PF,tm_opp_ORB,tm_opp_AST,tm_opp_TOV,tm_opp_PTS,tm_opp_FG_pct,tm_opp_2P_pct,tm_opp_3P_pct,tm_opp_FT_pct,tm_MOV,tm_SOS,tm_SRS,tm_Pace,tm_DRtg,tm_DRB%,tm_opp_eFG%,tm_opp_TS%,tm_opp_TOV%,tm_opp_ORB%,STL,BLK,DWS,DBPM,DRtg,Height,Weight,DRB_y,MP,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,HEIGHT W/O SHOES (in),HEIGHT W/ SHOES (in),STANDING REACH (in),WINGSPAN (in),#,Wingspan,length_ratio,,
herbert jones,NOP,25,F,76,395,898,44,47.2,2023-24,2321,63,62,95.2,30.6,3.6,6.5,54.7,1.6,5.3,30.7,195,22,29,12,463,0,0,14,495,0.028,1.4,0.8,11.5,13,34,10,3,10,91.5,11,98.5,5,28.75,75,49,33,0.598,33.6,4.6,18.4,10.1,26.8,14.2,110.7,46.391752577319586,55.46391752577319,34.883720930232556,78.26086956521739,4.41,0.05,4.46,97.9,112.9,76.9,54.1,57.4,12.9,23.1,1.4,0.8,3,1.5,113,79,206,198,2321,SF,5.8,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',78,79.25,106,84.25,103,84.25,6.25,,
victor wembanyama,SAS,20,F,71,547,1186,46.1,50.4,2023-24,2106,61,41,100,57.6,6.3,12.6,49.6,1.4,4.1,35.5,204,17,20,11,644,0,19,245,495,0.495,1.2,3.6,10,16,10,1,7,1,157,49,16,77.5,34.45,293,22,60,0.268,33.9,6.3,17.2,10.5,28,13.4,118.6,48.645720476706394,55.23156089193826,37.35294117647059,78.04878048780488,-6.49,0.69,-5.8,101.1,116.4,76.4,55.50000000000001,58.5,11.7,23.6,1.2,3.6,4.4,3.3,106,88,210,594,2106,C,,-,-,,,,-,,,,,,30,96,8,,
mo bamba,ORL,24,C,71,450,1018,44.2,48.3,2021-22,1824,120,79,96.6,62.1,4.9,9.8,49.6,1.5,4.5,32.5,72,15,18,0,667,0,0,0,0,0,,,171.5,195,18,,,,196,40.5,41.5,42,100.64285714285714,296,22,60,0.268,35.2,4.5,19.7,10.4,24.8,13.2,112.2,45.84269662921348,52.371916508538895,36.36363636363637,76.99115044247786,-8,0.33,-7.67,99.2,112.5,77.2,53.2,56.699999999999996,11.7,22.8,0.5,1.7,2.7,0.9,108,84,231,424,1824,,,,,,,,,,,,,,2,94,10.75,,
derrick white,BOS,29,G,73,458,1010,45.3,47,2023-24,2381,23,21,95.5,22.7,4.6,8.9,51.8,1.6,4.9,33.6,153,14,24,7,480,0,0,5,495,0.01,1,1.2,39,27.5,27,4,10,11,130,32.5,43,33.5,35.75,6,64,18,0.78,35.6,6.6,16.2,11.1,24.9,12,109.2,45.30567686,52,35.14986376021798,76.87861272,11.34,-0.6,10.75,97.2,111.6,76.3,52.300000000000004,55.00000000000001,10.8,23.7,1,1.2,3.3,1.4,112,76,190,259,2381,PG,6.2,8.25,8.5,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5'',75.25,76.5,101.5,79.5,259,79.5,4.25,,
mo bamba,ORL,22,C,62,239,501,47.7,47.9,2019-20,878,117,93,91.5,48.8,3.2,6.2,51.2,0.7,1.9,36.2,34,15,13,0,412,0,0,0,0,0,,,164,154,75.5,,,,34.5,116,68.5,102.5,102.14285714285714,233,33,40,0.452,34.2,5.4,18.3,9,24.7,14.6,108.3,46.49021864211737,52.908067542213885,36.30952380952381,77.27272727272727,-1.01,0.09,-0.93,98.6,109.5,79.1,53.5,56.599999999999994,13.2,20.9,0.4,1.4,1.7,1.6,103,84,231,202,878,,,,,,,,,,,,,,2,94,10.75,,
rudy gobert,MIN,31,C,76,626,1440,43.5,49.5,2023-24,2593,215,144,99.5,68.4,7,15.2,46.1,1.2,3.8,32.9,124,18,12,1,834,1,72,433,495,0.875,0.7,2.1,70.5,102.5,4,3,12.5,7,169,8,4,25,40.55,23,56,26,0.683,34.2,6.1,18.8,10.3,24.5,14.2,106.5,44.93087557603687,50.64220183486239,35.294117647058826,78.08219178082193,6.45,-0.07,6.39,97.1,109,76.9,51.5,55.300000000000004,12.9,23.1,0.7,2.1,5.8,1.7,104,85,258,697,2593,C,4.4,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5'',84.5,86,115,92.5,31,92.5,8,,
chet holmgren,OKC,22,C,82,605,1329,45.5,49.9,2023-24,2413,166,151,97.5,50,6,12,49.5,1.4,4.2,33.9,96,23,20,4,951,0,0,0,0,0,,,112,53.5,2,,,,165.5,36,15,40,60.57142857142857,18,57,25,0.695,33.2,6.6,18.8,11.8,26.9,15.7,112.7,45.46472564389698,52.207293666026864,36.02150537634408,79.03930131004367,7.41,-0.05,7.36,99.8,112.1,73.8,53,56.699999999999996,13.6,26.2,0.6,2.3,4.4,1.5,108,85,208,519,2413,PF,,-,-,,,,-,,,,,,139,90,6,,
jrue holiday,BOS,33,G,69,453,1005,45.1,47.2,2023-24,2263,50,46,95.8,35.4,4.4,8.7,50.7,2.1,5.9,36.6,155,25,27,6,349,0,1,7,495,0.014,0.9,0.8,37,34,66,11,11,12,126,27,32.5,101,45.75,6,64,18,0.78,35.6,6.6,16.2,11.1,24.9,12,109.2,45.30567686,52,35.14986376021798,76.87861272,11.34,-0.6,10.75,97.2,111.6,76.3,52.300000000000004,55.00000000000001,10.8,23.7,0.9,0.8,3,1.1,113,76,205,289,2263,PG-SG,6.3,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7'',75.25,76.25,100.5,79,289,79,3.75,,
kristaps porzingis,WAS,27,F,65,502,1141,44,49,2022-23,2120,70,60,95.7,55.1,6,12.6,47.8,1.7,5,34.4,84,15,15,0,733,0,0,0,0,0,,,147.5,196,10,,,,210,11.5,6,79,94.28571428571429,215,35,47,0.427,34.2,5.2,18.8,10.8,24.8,12.3,114.4,47.327394209354125,53.50877192982456,36.585365853658544,79.90867579908677,-1.21,0.15,-1.06,98.6,115.6,76.1,54,57.49999999999999,11,23.9,0.9,1.5,2.7,0.5,113,87,240,432,2120,,,,,,,,,,,,,,298,90,3.5,,
shai gilgeousalexander,OKC,25,G,75,470,1043,45.1,46.5,2023-24,2553,25,23,100,44,4.3,8.2,52.4,2,5.7,34.5,263,27,43,0,450,0,0,6,495,0.012,2,0.9,3,147,36,8,1,4.5,135,27,54.5,53.5,46.95,18,57,25,0.695,33.2,6.6,18.8,11.8,26.9,15.7,112.7,45.46472564389698,52.207293666026864,36.02150537634408,79.03930131004367,7.41,-0.05,7.36,99.8,112.1,73.8,53,56.699999999999996,13.6,26.2,2,0.9,4.2,2.3,110,78,195,350,2553,PG,3,9,9,6' 4.5'',6' 6'',8' 8'',180,6' 11.5'',76.5,78,104,83.5,59,83.5,7,,
deandre ayton,PHX,24,C,67,477,999,47.7,50.3,2022-23,2035,94,76,97.8,74.4,5.7,11,51.6,1.4,3.9,36.9,76,16,12,0,643,0,0,0,0,0,,,162,196,18,,,,203,109,45,150.5,126.21428571428571,126,45,37,0.549,32.4,5.3,21.2,10.2,23.4,14.4,111.6,46.56577415599534,53.06122448979592,35.625,78.515625,2.07,0.01,2.08,98.2,113,76,53.2,57.4,12.9,24,0.6,0.8,3,0,111,84,250,495,2035,,,,,,,,,,,,,,66,90,7,,
paul george,LAC,34,F,74,468,1050,44.6,47.2,2023-24,2502,45,43,95.6,60,4.4,8.7,50.5,1.9,5.5,35.1,218,25,27,5,438,0,0,0,0,0,,,9,43,38,,,,134,19.5,27.5,66.5,48.214285714285715,53,51,31,0.622,32.9,5,18.5,11.1,26.4,13,112.3,46.79415073,53.83177570093458,36.440677966101696,77.14285714285714,3.28,0.13,3.41,97.2,115.4,74.8,54.1,57.3,11.7,25.2,1.5,0.5,2.8,0.2,114,80,220,351,2502,SF,5,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25'',79.75,80.75,107,83.25,316,83.25,3.5,,
jalen williams,OKC,23,G,71,317,707,44.8,47.4,2023-24,2224,52,48,94.2,50,3.4,6.8,49.8,1.1,3.1,34.1,195,22,29,1,282,0,0,0,0,0,,,11.5,102.5,108.5,,,,45,23,19,43.5,50.42857142857143,18,57,25,0.695,33.2,6.6,18.8,11.8,26.9,15.7,112.7,45.46472564389698,52.207293666026864,36.02150537634408,79.03930131004367,7.41,-0.05,7.36,99.8,112.1,73.8,53,56.699999999999996,13.6,26.2,1.1,0.6,2.7,0.3,114,77,211,245,2223,SG,8.9,8.5,9.5,6' 4.50'',6' 5.75'',8' 9.50'',209.2,7' 2.25'',76.5,77.75,105.5,86.25,3,86.25,9.75,,
russell westbrook,LAC,35,G,68,214,491,43.6,46.6,2023-24,1529,16,7,93.8,68.8,2.2,4.6,48.7,0.9,2.7,34.8,124,27,28,5,132,0,0,0,0,0,,,70.5,43,163,,,,11,9.5,10,58,52.142857142857146,53,51,31,0.622,32.9,5,18.5,11.1,26.4,13,112.3,46.79415073,53.83177570093458,36.440677966101696,77.14285714285714,3.28,0.13,3.41,97.2,115.4,74.8,54.1,57.3,11.7,25.2,1.1,0.3,1.9,0.7,113,76,200,250,1529,PG,4.8,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75'',74.25,75.5,100,79.75,159,79.75,5.5,,
jeff green,HOU,37,F,77,241,561,43,47.3,2023-24,1307,45,45,95.5,18.2,2.3,4.5,50.4,0.9,2.8,31,43,9,7,2,337,0,0,0,0,0,,,168,76.5,72.5,,,,17,4,26,8,53.142857142857146,169,41,41,0.5,34,4.6,20.8,10.7,24.4,13.8,113.2,46.31101021566402,53.88994307400379,34.74576271186441,76.58730159,1.12,0.12,1.24,99,113.4,76,53.300000000000004,57.099999999999994,12.2,24,0.2,0.4,1.2,-0.4,117,80,235,132,1307,SF,3.7,-,-,6' 7'',6' 9.5'',8' 7'',228,7' 1.25'',79,81.5,103,85.25,99,85.25,6.25,,
aaron gordon,DEN,28,F,72,375,866,43.3,48.7,2023-24,2297,45,27,97.8,71.1,3.9,8.1,48,1.3,4,33.7,100,23,20,2,346,0,0,0,0,0,,,107,76.5,67.5,,,,80,6,6,36,54.142857142857146,17,57,25,0.695,33.7,5.6,18.2,10.9,25.7,12.4,109.6,46.18885096700796,52.12765957446809,35.55555555555555,77.02702702702705,5.26,-0.03,5.23,96.8,113,75.6,52.6,56.10000000000001,11.2,24.4,0.8,0.6,2.6,0.1,114,80,235,297,2297,PF,5.05,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75'',79.5,80.75,105,83.75,258,83.75,4.25,,
deandre ayton,PHX,23,C,58,418,944,44.3,48.4,2021-22,1713,85,67,94.7,72,5.8,11.9,48.7,1.4,4.4,32.4,58,10,20,0,659,0,0,0,0,0,,,193,195,21,,,,178,43.5,28.5,40.5,99.92857142857143,7,64,18,0.78,35.5,4.4,19.9,10.5,22.9,14.7,107.3,44.39411098527747,51.01663585951941,33.91812865497076,76.21145374,7.5,-0.56,6.94,99.8,107.3,77.1,51,54.6,13,22.9,0.7,0.7,3.1,0.6,105,83,250,444,1713,,,,,,,,,,,,,,66,90,7,,
nickeil alexanderwalker,MIN,25,G,82,324,746,43.4,46.2,2023-24,1921,38,35,94.4,22.2,2.9,6.3,46,1.1,2.8,37.8,157,19,21,5,240,0,0,0,0,0,,,35.5,43,129,,,,48.5,7,3,122,55.42857142857143,23,56,26,0.683,34.2,6.1,18.8,10.3,24.5,14.2,106.5,44.93087557603687,50.64220183486239,35.294117647058826,78.08219178082193,6.45,-0.07,6.39,97.1,109,76.9,51.5,55.300000000000004,12.9,23.1,0.8,0.5,2.8,1.3,111,77,205,132,1921,SG,5.9,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5'',76.25,77.5,102,81.5,165,81.5,5.25,,
anthony davis,LAL,31,F,76,679,1438,47.2,49.5,2023-24,2700,189,140,98.4,68.8,6.7,13.5,49.7,2.2,5.4,41,194,47,29,1,848,0,4,83,495,0.168,1.2,2.3,13,102.5,3,2,5,7,170,73.5,17,161.5,55.45,107,47,35,0.573,34.9,5.5,15.6,10.9,28.2,13.4,117.4,47.38527214514407,54.121863799283155,37.73087071240106,79.44444444444446,0.6,0.48,1.07,100.9,115.3,76.2,55.00000000000001,57.8,11.7,23.8,1.2,2.3,4.7,1.7,109,82,253,722,2700,PF-C,7.9,9,8.5,6' 9.25'',6' 10.5'',9' 0'',221.8,7' 5.5'',81.25,82.5,108,89.5,23,89.5,8.25,,
kevin durant,PHX,35,F,75,417,943,44.2,47.9,2023-24,2791,44,44,93,46.5,3.8,7.7,48.9,1.8,4.8,36.8,117,25,32,4,443,0,0,0,0,0,,,79,53.5,37,,,,108.5,13,11.5,103.5,58,76,49,33,0.598,33.9,6,18,11,26.3,12.7,113.2,46.35761589403974,52.930402930402934,36.388888888888886,77.40384615384616,3.06,0.02,3.08,98.3,114.6,75.6,53.6,56.699999999999996,11.3,24.4,0.9,1.2,3.2,0.1,114,83,240,454,2791,SF-PF,6.6,-,-,6' 9'',6' 10.25'',9' 2'',215,7' 4.75'',81,82.25,110,88.75,36,88.75,7.75,,
bismack biyombo,TOR,23,C,81,344,797,43.2,46.4,2015-16,,,,,,3.9,8.7,44.5,0.4,1.1,33.3,,,,,,0,0,0,0,0,,,,,,,,,185,64.5,22,84,88.875,26,56,26,0.683,33.2,5.5,19.6,9.5,21.7,13.3,98.2,44.457978075517666,47.18909710391823,37.17948717948718,74.66063348416289,4.5,-0.42,4.08,92.9,105.2,77.7,49.8,53.5,12.7,22.3,0.2,1.6,3.1,1.1,101,81,245,473,1808,,,,,,,,,,,,,,,90,,,
deandre ayton,PHX,22,C,67,534,1146,46.6,48.3,2020-21,2115,150,78,98.5,80.2,6.3,12.5,50.2,1.7,4.6,36.9,73,33,21,0,913,0,0,0,0,0,,,119,136.5,4,,,,151,71,34,88.5,86.28571428571429,59,51,21,0.708,34.2,4.3,19.1,9.4,22.9,13.6,109.5,46.65898617511521,53.51851851851852,35.36585365853659,77.41935483870968,5.82,-0.15,5.67,97.2,111.3,78.5,53.400000000000006,56.8,12.4,21.5,0.6,1.2,3.1,0.1,109,83,250,499,2115,,,,,,,,,,,,,,66,90,7,,
bismack biyombo,CHA,22,C,64,213,473,45,47.8,2014-15,,,,,,3.2,7,46.1,0.1,0.4,28.6,,,,,,0,0,0,0,0,,,,,,,,,69.5,137,62.5,13,70.5,241,33,49,0.402,34.1,5.5,18.2,8.9,22.1,12.6,97.3,43.96654719235364,46.99186991869919,35.74660633484163,77.45098039215688,-3.17,-0.27,-3.44,93,103.5,79.3,48.699999999999996,52.5,12,20.7,0.3,1.5,2.2,1.3,99,81,245,248,1243,,,,,,,,,,,,,,,90,,,
