Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season
Coby White,CHI,24,G,78,2.5,6.6,37.9,37,2023-24
Luka Doncic,DAL,25,F-G,70,2.3,6.1,38,36.7,2023-24
De'Aaron Fox,SAC,26,G,74,2.4,6,39.7,37,2023-24
Bogdan Bogdanovic,ATL,31,G,79,2.5,6,41.1,36.8,2023-24
Jrue Holiday,BOS,33,G,69,2.1,5.9,36.6,37,2023-24
Dillon Brooks,HOU,28,G-F,72,2.2,5.8,37.7,36.7,2023-24
Alex Caruso,CHI,30,G,70,2.1,5.8,36,36.8,2023-24
Shai Gilgeous-Alexander,OKC,25,G,75,2,5.7,34.5,36.7,2023-24
Grayson Allen,PHX,28,G,75,1.9,5.6,33.3,36.8,2023-24
Max Strus,CLE,28,G-F,69,2.1,5.5,38.8,36.9,2023-24
Paul George,LAC,34,F,74,1.9,5.5,35.1,36.7,2023-24
Miles Bridges,CHA,26,F,69,2,5.5,36.5,36.8,2023-24
Jabari Smith Jr.,HOU,21,F,76,1.8,5.5,33.7,36.4,2023-24
CJ McCollum,NOP,32,G,66,1.8,5.5,32.5,36.4,2023-24
Anthony Davis,LAL,31,F-C,76,2.2,5.4,41,36.3,2023-24
Austin Reaves,LAL,25,G,82,2,5.3,37.1,37.3,2023-24
Josh Hart,NYK,29,G,81,1.9,5.3,34.9,36.1,2023-24
Herbert Jones,NOP,25,F,76,1.6,5.3,30.7,36.6,2023-24
Devin Booker,PHX,27,G,68,1.9,5.2,37.1,36.7,2023-24
DeMar DeRozan,CHI,34,G-F,78,1.8,5.1,34.4,36.2,2023-24
D'Angelo Russell,LAL,28,G,76,2,5.1,39.8,36.8,2023-24
Jeremy Sochan,SAS,21,F,74,1.7,5,34.2,37.3,2023-24
Jaime Jaquez Jr.,MIA,23,G,75,1.8,5,35.1,37,2023-24
Brook Lopez,MIL,36,C,79,1.9,5,37.6,36.2,2023-24
Luguentz Dort,OKC,25,G,79,1.8,5,36.5,37.8,2023-24
Brandon Miller,CHA,21,F,74,1.9,5,37.6,36.8,2023-24
Paolo Banchero,ORL,21,F,80,1.7,5,34,36.5,2023-24
Deni Avdija,WAS,23,F,75,1.6,4.9,33.2,37,2023-24
James Harden,LAC,34,G,72,1.8,4.9,35.6,36.8,2023-24
Pascal Siakam,IND,30,F,80,2,4.9,40.6,36.5,2023-24
Derrick White,BOS,29,G,73,1.6,4.9,33.6,36.9,2023-24
Kawhi Leonard,LAC,32,F,68,1.9,4.9,39,36.5,2023-24
Damian Lillard,MIL,33,G,73,1.6,4.8,32.8,37.1,2023-24
Kevin Durant,PHX,35,F,75,1.8,4.8,36.8,36.6,2023-24
Jalen Brunson,NYK,27,G,77,1.9,4.8,40.8,37.2,2023-24
Giannis Antetokounmpo,MIL,29,F,73,1.7,4.7,35.5,36.5,2023-24
Keyonte George,UTA,20,G,75,1.9,4.7,41,37.4,2023-24
