Player,Team,Age,Position,GP,DFGM,DFGA,DFG_PCT,FG_PCT,Season
Peyton Watson,DEN,21,G,79,299,706,42.4,47,2023-24
Naji Marshall,NOP,26,F,66,213,498,42.8,47,2023-24
Jae'Sean Tate,HOU,28,F,65,174,406,42.9,47,2023-24
Jeff Green,HOU,37,F,77,241,561,43,47.3,2023-24
Max Strus,CLE,28,G-F,69,424,982,43.2,46.8,2023-24
Aaron Gordon,DEN,28,F,72,375,866,43.3,48.7,2023-24
Nickeil Alexander-Walker,MIN,25,G,82,324,746,43.4,46.2,2023-24
Rudy Gobert,MIN,31,C,76,626,1440,43.5,49.5,2023-24
Ochai Agbaji,TOR,24,G,78,316,725,43.6,46.5,2023-24
Russell Westbrook,LAC,35,G,68,214,491,43.6,46.6,2023-24
Herbert Jones,NOP,25,F,76,395,898,44,47.2,2023-24
Bam Adebayo,MIA,26,C-F,71,437,992,44.1,49.1,2023-24
Kevin Durant,PHX,35,F,75,417,943,44.2,47.9,2023-24
Kentavious Caldwell-Pope,DEN,31,G,74,308,695,44.3,46.6,2023-24
Patrick Beverley,MIL,35,G,72,260,587,44.3,47,2023-24
Aaron Wiggins,OKC,25,G,78,256,578,44.3,46.6,2023-24
Anthony Edwards,MIN,22,G,79,384,864,44.4,46.9,2023-24
Caris LeVert,CLE,29,G,68,316,710,44.5,46.9,2023-24
Paul George,LAC,34,F,74,468,1050,44.6,47.2,2023-24
Luguentz Dort,OKC,25,G,79,405,908,44.6,47,2023-24
Cason Wallace,OKC,20,G,82,329,736,44.7,45.9,2023-24
Jaylen Brown,BOS,27,G-F,70,338,755,44.8,47.2,2023-24
Mike Conley,MIN,36,G,76,337,752,44.8,46.1,2023-24
Jalen Williams,OKC,23,G-F,71,317,707,44.8,47.4,2023-24
Christian Braun,DEN,23,G,81,270,601,44.9,46.2,2023-24
Shai Gilgeous-Alexander,OKC,25,G,75,470,1043,45.1,46.5,2023-24
Jrue Holiday,BOS,33,G,69,453,1005,45.1,47.2,2023-24
Eric Gordon,PHX,35,G,68,234,519,45.1,46.7,2023-24
Alex Caruso,CHI,30,G,70,420,929,45.2,47.2,2023-24
Jaden McDaniels,MIN,23,F,72,397,879,45.2,46.8,2023-24
Isaac Okoro,CLE,23,F-G,68,276,610,45.2,46.6,2023-24
Derrick White,BOS,29,G,73,458,1010,45.3,47,2023-24
Damian Lillard,MIL,33,G,73,404,892,45.3,46.2,2023-24
Aaron Nesmith,IND,24,G-F,72,410,903,45.4,47.7,2023-24
Kyle Anderson,MIN,30,F-G,79,317,698,45.4,47.4,2023-24
Chet Holmgren,OKC,22,C-F,82,605,1329,45.5,49.9,2023-24
Josh Hart,NYK,29,G,81,498,1092,45.6,47.3,2023-24
Klay Thompson,GSW,34,G,76,362,793,45.6,47.7,2023-24
Julian Champagnie,SAS,22,F,74,292,640,45.6,47.4,2023-24
Norman Powell,LAC,31,G,76,287,629,45.6,46.5,2023-24
Grayson Allen,PHX,28,G,75,527,1152,45.7,47,2023-24
Jabari Smith Jr.,HOU,21,F,76,492,1077,45.7,47.9,2023-24
Ivica Zubac,LAC,27,C,68,524,1142,45.9,49.8,2023-24
Jonathan Kuminga,GSW,21,F,74,355,773,45.9,47.7,2023-24
Jaxson Hayes,LAL,24,C-F,67,231,503,45.9,48.3,2023-24
Tyrese Maxey,PHI,23,G,69,367,797,46,46.4,2023-24
Derrick Jones Jr.,DAL,27,F,76,306,665,46,47.1,2023-24
Victor Wembanyama,SAS,20,F-C,71,547,1186,46.1,50.4,2023-24
Dorian Finney-Smith,BKN,31,F,67,371,805,46.1,48,2023-24
Simone Fontecchio,DET,28,F,66,268,581,46.1,47.6,2023-24
Giannis Antetokounmpo,MIL,29,F,73,421,911,46.2,48.4,2023-24
LeBron James,LAL,39,F,70,328,710,46.2,48,2023-24
Tobias Harris,PHI,31,F,69,401,866,46.3,48,2023-24
Jalen Suggs,ORL,22,G,75,354,763,46.4,46.6,2023-24
Kevon Looney,GSW,28,F,74,350,755,46.4,49.9,2023-24
Andrew Nembhard,IND,24,G-F,67,325,700,46.4,46.7,2023-24
Malik Monk,SAC,26,G,71,289,623,46.4,46.1,2023-24
Mikal Bridges,BKN,27,G-F,80,431,927,46.5,47,2023-24
Al Horford,BOS,37,C-F,65,406,873,46.5,48,2023-24
Isaiah Hartenstein,NYK,26,C-F,75,454,975,46.6,49.8,2023-24
Nic Claxton,BKN,25,C,69,555,1189,46.7,48.7,2023-24
Jaren Jackson Jr.,MEM,24,F-C,66,426,912,46.7,49.3,2023-24
Jayson Tatum,BOS,26,F-G,74,366,784,46.7,47.5,2023-24
Drew Eubanks,PHX,27,F-C,74,309,660,46.8,48.6,2023-24
