Rank,Player,Age,Tm,Season,MVP,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Rudy Gobert,31,MIN,2023-24,1,72,433,495,0.875,76,34.1,14,12.9,1.3,0.7,2.1,0.661,0,0.638,11.6,0.216,5.8,1.7,104,goberru01
2,Victor Wembanyama,20,SAS,2023-24,0,19,245,495,0.495,71,29.7,21.4,10.6,3.9,1.2,3.6,0.465,0.325,0.796,3.7,0.085,4.4,3.3,106,wembavi01
3,Bam Adebayo,26,MIA,2023-24,0,3,91,495,0.184,71,34,19.3,10.4,3.9,1.1,0.9,0.521,0.357,0.755,7.2,0.144,4.3,1.7,109,adebaba01
4,Anthony Davis,30,LAL,2023-24,0,4,83,495,0.168,76,35.5,24.7,12.6,3.5,1.2,2.3,0.556,0.271,0.816,11.8,0.21,4.7,1.7,109,davisan02
5,Herbert Jones,25,NOP,2023-24,0,0,14,495,0.028,76,30.5,11,3.6,2.6,1.4,0.8,0.498,0.418,0.867,6.3,0.131,3,1.5,113,joneshe01
6,Jrue Holiday,33,BOS,2023-24,0,1,7,495,0.014,69,32.8,12.5,5.4,4.8,0.9,0.8,0.48,0.429,0.833,6.3,0.133,3,1.1,113,holidjr01
7,Shai Gilgeous-Alexander,25,OKC,2023-24,0,0,6,495,0.012,75,34,30.1,5.5,6.2,2,0.9,0.535,0.353,0.874,14.6,0.275,4.2,2.3,110,gilgesh01
8,Derrick White,29,BOS,2023-24,0,0,5,495,0.01,73,32.6,15.2,4.2,5.2,1,1.2,0.461,0.396,0.901,8.5,0.171,3.3,1.4,112,whitede01
9,Giannis Antetokounmpo,29,MIL,2023-24,0,0,3,495,0.006,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246,3.7,2.4,112,antetgi01
10,Jarrett Allen,25,CLE,2023-24,0,0,1,495,0.002,77,31.7,16.5,10.5,2.7,0.7,1.1,0.634,0,0.742,10.7,0.21,3.9,0.9,110,allenja01
10,Alex Caruso,29,CHI,2023-24,0,0,1,495,0.002,71,28.7,10.1,3.8,3.5,1.7,1,0.468,0.408,0.76,4.9,0.115,2.6,2.3,113,carusal01
10,Domantas Sabonis,27,SAC,2023-24,0,0,1,495,0.002,82,35.7,19.4,13.7,8.2,0.9,0.6,0.594,0.379,0.704,12.6,0.206,4,2.4,112,sabondo01
10,Jalen Suggs,22,ORL,2023-24,0,0,1,495,0.002,75,27,12.6,3.1,2.7,1.4,0.6,0.471,0.397,0.756,4.7,0.112,3.2,1.6,110,suggsja01
1,Jaren Jackson Jr.,23,MEM,2022-23,1,56,391,500,0.782,63,28.4,18.6,6.8,1,1,3,0.506,0.355,0.788,6.6,0.177,3.8,2,105,jacksja02
2,Brook Lopez,34,MIL,2022-23,0,31,309,500,0.618,78,30.4,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,8,0.161,3.9,1.3,109,lopezbr01
3,Evan Mobley,21,CLE,2022-23,0,8,101,500,0.202,79,34.4,16.2,9,2.8,0.8,1.5,0.554,0.216,0.674,8.5,0.151,4.8,1.6,108,mobleev01
4,Draymond Green,32,GSW,2022-23,0,3,34,500,0.068,73,31.5,8.5,7.2,6.8,1,0.8,0.527,0.305,0.713,4.7,0.098,3.1,2.6,112,greendr01
5,Bam Adebayo,25,MIA,2022-23,0,1,18,500,0.036,75,34.6,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.806,7.4,0.137,3.8,0.8,111,adebaba01
6,Giannis Antetokounmpo,28,MIL,2022-23,0,0,14,500,0.028,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204,3.7,2.7,108,antetgi01
7,OG Anunoby,25,TOR,2022-23,0,0,8,500,0.016,67,35.6,16.8,5,2,1.9,0.7,0.476,0.387,0.838,4.7,0.094,2.9,0.7,113,anunoog01
7,Jrue Holiday,32,MIL,2022-23,0,0,8,500,0.016,67,32.6,19.3,5.1,7.4,1.2,0.4,0.479,0.384,0.859,6.7,0.148,2.8,0.1,112,holidjr01
9,Nic Claxton,23,BRK,2022-23,0,0,7,500,0.014,76,29.9,12.6,9.2,1.9,0.9,2.5,0.705,0,0.541,9.2,0.195,4,2.2,108,claxtni01
9,Joel Embiid,28,PHI,2022-23,0,0,7,500,0.014,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259,3.9,2.3,109,embiijo01
