Player,Min,Deflections,off_LB,def_LB,charges,contested_shots,Season
Brook Lopez,2411,107,17,23,0,1234,2023-24
Chet Holmgren,2413,96,23,20,4,951,2023-24
Anthony Davis,2700,194,47,29,1,848,2023-24
Rudy Gobert,2593,124,18,12,1,834,2023-24
Nic Claxton,2116,112,22,19,0,772,2023-24
Jarrett Allen,2442,124,36,18,0,738,2023-24
Myles Turner,2076,111,13,9,3,679,2023-24
Ivica Zubac,1795,40,24,11,0,669,2023-24
Daniel Gafford,1814,115,21,24,5,653,2023-24
Victor Wembanyama,2106,204,17,20,11,644,2023-24
Domantas Sabonis,2928,159,43,29,2,643,2023-24
Clint Capela,1883,86,33,18,14,625,2023-24
Nikola Vucevic,2610,137,21,17,1,624,2023-24
Zach Collins,1526,74,14,14,2,612,2023-24
Jusuf Nurkic,2078,166,35,24,1,567,2023-24
Nikola Jokic,2737,237,30,24,4,556,2023-24
Isaiah Hartenstein,1896,146,28,28,0,553,2023-24
Jaren Jackson Jr.,2124,180,30,22,2,549,2023-24
Precious Achiuwa,1624,95,32,15,3,542,2023-24
Jabari Smith Jr.,2424,129,27,23,0,539,2023-24
Paul Reed,1589,168,41,26,0,535,2023-24
Al Horford,1740,65,7,19,0,527,2023-24
Jonas Valanciunas,1925,52,20,22,0,524,2023-24
Bogdan Bogdanovic,2401,183,19,21,0,507,2023-24
Jeremy Sochan,2193,136,29,24,0,490,2023-24
Coby White,2881,88,29,43,10,489,2023-24
Derrick White,2381,153,14,24,7,480,2023-24
Bam Adebayo,2416,157,33,30,2,476,2023-24
Paolo Banchero,2799,112,21,23,0,476,2023-24
Giannis Antetokounmpo,2567,159,37,25,1,473,2023-24
Miles Bridges,2581,106,19,23,2,472,2023-24
Deni Avdija,2257,96,25,21,0,469,2023-24
Aaron Nesmith,1995,114,24,23,8,464,2023-24
Herbert Jones,2321,195,22,29,12,463,2023-24
P.J. Washington,2221,159,27,17,0,457,2023-24
Shai Gilgeous-Alexander,2553,263,27,43,0,450,2023-24
Kevin Durant,2791,117,25,32,4,443,2023-24
Paul George,2502,218,25,27,5,438,2023-24
Nick Richards,1759,49,21,10,1,437,2023-24
Naz Reid,1964,103,17,15,1,435,2023-24
John Collins,1901,63,39,19,7,433,2023-24
Harrison Barnes,2381,101,20,14,0,431,2023-24
Pascal Siakam,2658,122,29,36,1,429,2023-24
