BLK,DWS,DBPM,DRtg,DRB,DFG_PCT,charges,Deflections,def_LB,Height,Weight,Position,vote_getter,Share,MP,w_L_pct,Player,Season,DFGA,DPOY,STL
61,3,1.5,113,198,44,12,195,29,79,206,F,Yes,0.028,2321,0.598,herbert jones,2023-24,898,0,106
256,4.4,3.3,106,594,46.1,11,204,20,88,210,F,Yes,0.495,2106,0.268,victor wembanyama,2023-24,1186,0,85
121,2.7,0.9,108,424,44.2,0,72,18,84,231,C,No,0,1824,0.268,mo bamba,2021-22,1018,0,36
88,3.3,1.4,112,259,45.3,7,153,24,76,190,G,Yes,0.01,2381,0.78,derrick white,2023-24,1010,0,73
87,1.7,1.6,103,202,47.7,0,34,13,84,231,C,No,0,878,0.452,mo bamba,2019-20,501,0,25
160,5.8,1.7,104,697,43.5,1,124,12,85,258,C,Yes,0.875,2593,0.683,rudy gobert,2023-24,1440,1,53
189,4.4,1.5,108,519,45.5,4,96,20,85,208,C,No,0,2413,0.695,chet holmgren,2023-24,1329,0,49
55,3,1.1,113,289,45.1,6,155,27,76,205,G,Yes,0.014,2263,0.78,jrue holiday,2023-24,1005,0,62
98,2.7,0.5,113,432,44,0,84,15,87,240,F,No,0,2120,0.427,kristaps porzingis,2022-23,1141,0,58
68,4.2,2.3,110,350,45.1,0,263,43,78,195,G,Yes,0.012,2553,0.695,shai gilgeousalexander,2023-24,1043,0,150
54,3,0,111,495,47.7,0,76,12,84,250,C,No,0,2035,0.549,deandre ayton,2022-23,999,0,40
37,2.8,0.2,114,351,44.6,5,218,27,80,220,F,No,0,2502,0.622,paul george,2023-24,1050,0,111
43,2.7,0.3,114,245,44.8,1,195,29,77,211,G,No,0,2223,0.695,jalen williams,2023-24,707,0,78
20,1.9,0.7,113,250,43.6,5,124,28,76,200,G,No,0,1529,0.622,russell westbrook,2023-24,491,0,75
31,1.2,-0.4,117,132,43,2,43,7,80,235,F,No,0,1307,0.5,jeff green,2023-24,561,0,15
43,2.6,0.1,114,297,43.3,2,100,20,80,235,F,No,0,2297,0.695,aaron gordon,2023-24,866,0,58
41,3.1,0.6,105,444,44.3,0,58,20,83,250,C,No,0,1713,0.78,deandre ayton,2021-22,944,0,41
41,2.8,1.3,111,132,43.4,5,157,21,77,205,G,No,0,1921,0.683,nickeil alexanderwalker,2023-24,746,0,66
175,4.7,1.7,109,722,47.2,1,194,29,82,253,F,Yes,0.168,2700,0.573,anthony davis,2023-24,1438,0,91
