Rk,Player,WS,G,Season,Age,Team,AS,DRtg,DWS,DBPM,STL,BLK,STL%,BLK%,Pos
1,Nikola Jokić,17,79,2023-24,28,DEN,1,108,5.1,4.2,1.4,0.9,2,2.1,C-F
2,Shai Gilgeous-Alexander,14.6,75,2023-24,25,OKC,1,110,4.2,2.3,2,0.9,2.8,2.4,G
3,Giannis Antetokounmpo,13.2,73,2023-24,29,MIL,1,112,3.7,2.4,1.2,1.1,1.6,2.6,F-G
4,Domantas Sabonis,12.6,82,2023-24,27,SAC,0,112,4,2.4,0.9,0.6,1.2,1.5,C-F
5,Luka Dončić,12,70,2023-24,24,DAL,1,113,3.5,1.7,1.4,0.5,1.8,1.3,G-F
6,Anthony Davis,11.8,76,2023-24,30,LAL,1,109,4.7,1.7,1.2,2.3,1.6,5.7,F-C
7,Rudy Gobert,11.6,76,2023-24,31,MIN,0,104,5.8,1.7,0.7,2.1,1,5.5,C
8,Jalen Brunson,11.2,77,2023-24,27,NYK,1,117,2.4,-0.4,0.9,0.2,1.3,0.4,G
9,Jarrett Allen,10.7,77,2023-24,25,CLE,0,110,3.9,0.9,0.7,1.1,1.1,3,C-F
10,Jayson Tatum,10.4,74,2023-24,25,BOS,1,111,4.1,0.6,1,0.6,1.4,1.4,F
11,Devin Booker,9.2,68,2023-24,27,PHX,1,117,2,-1,0.9,0.4,1.2,1,G
12,DeMar DeRozan,9.2,79,2023-24,34,CHI,0,118,2.2,-0.3,1.1,0.6,1.5,1.5,G-F
13,Tyrese Haliburton,9,69,2023-24,23,IND,1,119,1.5,-0.4,1.2,0.7,1.8,1.7,G
14,Chet Holmgren,8.9,82,2023-24,21,OKC,0,108,4.4,1.5,0.6,2.3,1.1,7.3,F-C
15,Kawhi Leonard,8.9,68,2023-24,32,LAC,1,114,2.9,0.6,1.6,0.9,2.4,2.3,F
16,LeBron James,8.5,71,2023-24,39,LAL,1,114,2.8,0.9,1.3,0.5,1.7,1.3,F-G
17,Derrick White,8.5,73,2023-24,29,BOS,0,112,3.3,1.4,1,1.2,1.5,3.2,G
18,Fred VanVleet,8.4,73,2023-24,29,HOU,0,114,3.1,0.8,1.4,0.8,1.8,2,G
19,James Harden,8.4,72,2023-24,34,LAC,0,116,2.5,0.3,1.1,0.8,1.5,2.1,G
20,Kevin Durant,8.3,75,2023-24,35,PHX,1,114,3.2,0.1,0.9,1.2,1.2,2.9,F-G
21,Mike Conley,8.2,76,2023-24,36,MIN,0,111,3.3,1.4,1.2,0.2,2,0.7,G
22,Tyrese Maxey,8.1,70,2023-24,23,PHI,1,117,2.1,-1,1,0.5,1.3,1.1,G
23,Isaiah Hartenstein,8.1,75,2023-24,25,NYK,0,108,3.5,2.8,1.2,1.1,2.3,4.2,F
24,Daniel Gafford,7.8,74,2023-24,25,DALWAS,0,112,2.5,1.9,0.9,2.1,1.7,7.1,C-F
25,Damian Lillard,7.7,73,2023-24,33,MIL,1,118,1.9,-1.3,1,0.2,1.3,0.6,G
26,Zion Williamson,7.5,70,2023-24,23,NOP,0,113,2.8,0.6,1.1,0.7,1.7,2.1,F-C
27,Anthony Edwards,7.5,79,2023-24,22,MIN,1,110,4.7,0.5,1.3,0.5,1.8,1.3,G-F
28,Paul George,7.3,74,2023-24,33,LAC,1,114,2.8,0.2,1.5,0.5,2.2,1.3,F-G
29,Jalen Williams,7.3,71,2023-24,22,OKC,0,114,2.7,0.3,1.1,0.6,1.7,1.9,G
30,Bam Adebayo,7.2,71,2023-24,26,MIA,1,109,4.3,1.7,1.1,0.9,1.7,2.7,C-F
31,Stephen Curry,7.2,74,2023-24,35,GSW,1,117,2,-1.1,0.7,0.4,1.1,1,G
32,Aaron Gordon,7.1,73,2023-24,28,DEN,0,114,2.6,0.1,0.8,0.6,1.2,1.7,F
33,Jonas Valančiūnas,7.1,82,2023-24,31,NOP,0,110,3.1,0.5,0.4,0.8,0.8,3.5,C
34,Grayson Allen,6.9,75,2023-24,28,PHX,0,117,2.2,0.1,0.9,0.6,1.3,1.6,G
35,Pascal Siakam,6.9,80,2023-24,29,INDTOR,0,119,1.5,-0.7,0.8,0.3,1.1,0.8,F-C
36,Ivica Zubac,6.8,68,2023-24,26,LAC,0,113,2.3,0,0.3,1.2,0.6,4.2,C
37,Nic Claxton,6.7,71,2023-24,24,BKN,0,111,3.2,1.5,0.6,2.1,1.1,6.2,C
38,Donte DiVincenzo,6.6,81,2023-24,27,NYK,0,113,3,0.9,1.3,0.4,2.3,1.4,G
39,De'Aaron Fox,6.5,74,2023-24,26,SAC,0,114,3.2,0.1,2,0.4,2.7,1.1,G
40,Franz Wagner,6.4,72,2023-24,22,ORL,0,112,3.2,0.3,1.1,0.4,1.6,1.1,G-F
41,Herbert Jones,6.3,76,2023-24,25,NOP,0,113,3,1.5,1.4,0.8,2.2,2.6,F
42,Clint Capela,6.3,73,2023-24,29,ATL,0,115,1.9,-1,0.6,1.5,1.1,5.1,C
43,Jrue Holiday,6.3,69,2023-24,33,BOS,0,113,3,1.1,0.9,0.8,1.3,2.1,G
44,Al Horford,6.2,65,2023-24,37,BOS,0,111,2.7,2,0.6,1,1.1,3.1,C-F
45,Michael Porter Jr.,6.2,81,2023-24,25,DEN,0,114,3.1,-1.2,0.5,0.7,0.8,1.8,F
46,Payton Pritchard,6.1,82,2023-24,26,BOS,0,115,1.9,-0.2,0.5,0.1,1.1,0.3,G
47,Tobias Harris,5.9,70,2023-24,31,PHI,0,114,2.7,-0.1,1,0.7,1.5,1.8,F
48,CJ McCollum,5.9,66,2023-24,32,NOP,0,114,2.4,-0.3,0.9,0.6,1.4,1.9,G
49,Jaylen Brown,5.9,70,2023-24,27,BOS,1,112,3.2,-0.1,1.2,0.5,1.8,1.4,F-G
50,Austin Reaves,5.9,82,2023-24,25,LAL,0,118,2,-0.4,0.8,0.3,1.2,0.8,G
51,Brook Lopez,5.9,79,2023-24,35,MIL,0,114,2.8,0.8,0.5,2.4,0.9,6.7,C
52,Myles Turner,5.8,77,2023-24,27,IND,0,115,2.2,-0.1,0.5,1.9,0.9,5.5,C-F
53,Jusuf Nurkić,5.8,76,2023-24,29,PHX,0,108,3.8,2.1,1.1,1.1,1.9,3.4,C
54,Josh Hart,5.7,81,2023-24,28,NYK,0,113,3.6,1.4,0.9,0.3,1.4,0.8,G
55,Jabari Smith Jr.,5.6,76,2023-24,20,HOU,0,113,3.2,0.1,0.7,0.8,1,2.3,F
56,Moritz Wagner,5.6,80,2023-24,26,ORL,0,112,2,0.3,0.5,0.3,1.4,1.4,F-C
57,Collin Sexton,5.5,78,2023-24,25,UTA,0,123,0.3,-1.9,0.8,0.2,1.4,0.8,G
58,Nikola Vučević,5.4,76,2023-24,33,CHI,0,115,2.8,-0.7,0.7,0.8,1,2.4,C
59,Paolo Banchero,5.3,80,2023-24,21,ORL,1,112,4,0,0.9,0.6,1.3,1.6,F
60,Keegan Murray,5.2,77,2023-24,23,SAC,0,116,2.6,-0.5,1,0.8,1.5,2.1,F
61,Nick Richards,5.1,67,2023-24,26,CHA,0,118,1.3,-0.7,0.4,1.1,0.7,3.9,F-C
62,Paul Reed,5.1,82,2023-24,24,PHI,0,110,2.6,1,0.8,1,2.1,4.8,F
63,D'Angelo Russell,5.1,76,2023-24,27,LAL,0,118,1.8,-0.8,0.9,0.5,1.3,1.3,G
64,Tre Jones,4.9,77,2023-24,24,SAS,0,118,1.6,0.1,1,0.1,1.7,0.3,G
65,Andre Drummond,4.9,79,2023-24,30,CHI,0,107,2.6,-0.7,0.9,0.6,2.7,3.6,C
66,Naz Reid,4.9,81,2023-24,24,MIN,0,107,3.8,1.1,0.8,0.9,1.6,3.3,F
67,Alex Caruso,4.9,71,2023-24,29,CHI,0,113,2.6,2.3,1.7,1,2.9,3.5,G
68,Kelly Olynyk,4.9,78,2023-24,32,TORUTA,0,118,1.4,1.1,0.9,0.4,2,1.5,C-F
69,Dejounte Murray,4.9,78,2023-24,27,ATL,0,119,1.6,-0.6,1.4,0.3,1.9,0.8,G
70,Sam Hauser,4.9,79,2023-24,26,BOS,0,114,2.1,0,0.5,0.3,1.1,1.3,F
71,Trayce Jackson-Davis,4.8,68,2023-24,23,GSW,0,112,1.6,1.2,0.4,1.1,1.2,6.1,F
72,Kentavious Caldwell-Pope,4.8,76,2023-24,30,DEN,0,115,2.6,0.7,1.3,0.6,2,1.5,G
73,Obi Toppin,4.8,82,2023-24,25,IND,0,119,1.1,-0.3,0.6,0.5,1.3,2,F
74,Immanuel Quickley,4.7,68,2023-24,24,NYKTOR,0,119,1.2,-0.9,0.7,0.1,1.2,0.5,G
75,Jalen Suggs,4.7,75,2023-24,22,ORL,0,110,3.2,1.6,1.4,0.6,2.6,2.2,G
76,Coby White,4.7,79,2023-24,23,CHI,0,120,1.6,-1.3,0.7,0.2,0.9,0.6,G
77,Bobby Portis,4.7,82,2023-24,28,MIL,0,113,2.6,-0.8,0.8,0.4,1.6,1.4,F
78,Harrison Barnes,4.7,82,2023-24,31,SAC,0,119,1.5,-1.2,0.7,0.1,1.1,0.5,F
79,Jonathan Kuminga,4.6,74,2023-24,21,GSW,0,116,1.9,-0.4,0.7,0.5,1.4,1.7,F
80,Luguentz Dort,4.6,79,2023-24,24,OKC,0,114,2.5,-0.2,0.9,0.6,1.5,1.9,G
81,Tyus Jones,4.5,66,2023-24,27,WAS,0,121,0.7,-0.9,1.1,0.3,1.7,0.8,G
82,Kyle Anderson,4.5,79,2023-24,30,MIN,0,109,3.1,2.7,0.9,0.6,2,2.3,F-G
83,John Collins,4.4,68,2023-24,26,UTA,0,118,1.3,-1.4,0.6,0.9,1,2.9,F
84,Josh Giddey,4.3,80,2023-24,21,OKC,0,112,2.9,0.4,0.6,0.6,1.2,2,G
85,Nickeil Alexander-Walker,4.3,82,2023-24,25,MIN,0,111,2.8,1.3,0.8,0.5,1.6,1.9,G
86,Mikal Bridges,4.2,82,2023-24,27,BKN,0,118,2.1,-1,1,0.4,1.4,0.9,F-G
87,Isaac Okoro,4.2,69,2023-24,23,CLE,0,115,2,0.7,0.8,0.5,1.5,1.6,G-F
88,Terance Mann,4.2,75,2023-24,27,LAC,0,119,1.2,-0.7,0.6,0.2,1.1,0.7,G-F
89,Brandin Podziemski,4.1,74,2023-24,20,GSW,0,115,2,0.4,0.8,0.2,1.5,0.6,G
90,Rui Hachimura,4.1,68,2023-24,25,LAL,0,117,1.5,-0.9,0.6,0.4,1.1,1.2,F
91,Norman Powell,4.1,76,2023-24,30,LAC,0,119,1.3,-1.2,0.6,0.3,1.1,1,G
92,Ayo Dosunmu,4.1,76,2023-24,24,CHI,0,119,1.5,-0.2,0.9,0.5,1.5,1.7,G
93,Aaron Nesmith,4.1,72,2023-24,24,IND,0,119,1.3,-0.2,0.9,0.7,1.5,2,G-F
94,Kevon Looney,4,74,2023-24,27,GSW,0,113,1.6,1.4,0.4,0.4,1.1,2.2,F-C
95,Cason Wallace,4,82,2023-24,20,OKC,0,113,2.1,1,0.9,0.5,2.2,2,G
96,Jaime Jaquez Jr.,4,75,2023-24,22,MIA,0,113,2.7,0.3,1,0.3,1.8,0.9,G-F
97,Bogdan Bogdanović,3.9,79,2023-24,31,ATL,0,120,1.2,-0.7,1.2,0.3,1.9,1,G
98,Max Strus,3.9,70,2023-24,27,CLE,0,114,2.6,0.5,0.9,0.4,1.4,1.2,G
99,T.J. McConnell,3.9,71,2023-24,31,IND,0,117,1.1,0.1,1,0.1,2.6,0.5,G
100,Victor Wembanyama,3.7,71,2023-24,20,SAS,0,106,4.4,3.3,1.2,3.6,2,10,C-F
101,Aaron Wiggins,3.7,78,2023-24,25,OKC,0,113,1.6,0.4,0.7,0.2,2.2,1.4,G
102,Spencer Dinwiddie,3.6,76,2023-24,30,BKNLAL,0,119,1.3,-0.6,0.7,0.3,1.2,0.9,G
103,Miles McBride,3.6,68,2023-24,23,NYK,0,116,1.3,0.4,0.7,0.1,1.9,0.5,G
104,Cole Anthony,3.6,81,2023-24,23,ORL,0,111,2.7,0.7,0.8,0.5,1.7,1.9,G
105,Duncan Robinson,3.6,68,2023-24,29,MIA,0,115,2,-0.4,0.7,0.2,1.2,0.8,G-F
106,Devin Vassell,3.6,68,2023-24,23,SAS,0,118,1.6,-0.9,1.1,0.3,1.5,0.8,G-F
107,Caris LeVert,3.6,68,2023-24,29,CLE,0,113,2.6,0.8,1.1,0.5,1.9,1.6,G-F
108,Klay Thompson,3.6,77,2023-24,33,GSW,0,118,1.7,-1.5,0.6,0.5,1.1,1.4,G-F
109,Malik Beasley,3.5,79,2023-24,27,MIL,0,118,1.6,-0.8,0.7,0.1,1.2,0.3,G
110,Malik Monk,3.5,72,2023-24,25,SAC,0,117,1.6,-1,0.6,0.5,1.2,1.9,G
111,Isaiah Joe,3.5,78,2023-24,24,OKC,0,115,1.6,-0.3,0.6,0.3,1.5,1.4,G
112,Buddy Hield,3.5,84,2023-24,31,INDPHI,0,118,1.6,-0.6,0.8,0.5,1.6,1.6,G-F
113,Precious Achiuwa,3.4,74,2023-24,24,NYKTOR,0,112,2.2,0.3,0.6,0.9,1.4,3.9,F
114,Royce O'Neale,3.4,79,2023-24,30,BKNPHX,0,115,2.1,1,0.7,0.6,1.5,2,F
115,Christian Braun,3.4,82,2023-24,22,DEN,0,114,2,-0.2,0.5,0.4,1.3,1.8,G
116,Jaden McDaniels,3.4,72,2023-24,23,MIN,0,112,3.1,0.7,0.9,0.6,1.5,1.8,F
117,Dennis Schröder,3.3,80,2023-24,30,BKNTOR,0,121,1,-1.3,0.8,0.2,1.2,0.6,G
118,Deni Avdija,3.2,75,2023-24,23,WAS,0,119,1.5,-0.2,0.8,0.5,1.2,1.3,G-F
119,Drew Eubanks,3.1,75,2023-24,26,PHX,0,113,1.6,0.8,0.4,0.8,1.1,4.6,F
120,Derrick Jones Jr.,3.1,76,2023-24,26,DAL,0,116,1.6,-0.3,0.7,0.7,1.4,2.5,F
121,Haywood Highsmith,3.1,66,2023-24,27,MIA,0,112,1.9,1.1,0.8,0.5,1.9,2.1,F
122,Jalen Green,3.1,82,2023-24,21,HOU,0,115,2.9,-0.9,0.8,0.3,1.2,1,G
123,Keldon Johnson,3,69,2023-24,24,SAS,0,118,1.5,-1.4,0.7,0.3,1.2,0.8,G
124,Kelly Oubre Jr.,3,68,2023-24,28,PHI,0,114,2.4,-0.7,1.1,0.7,1.8,2.1,F
125,Jaren Jackson Jr.,3,66,2023-24,24,MEM,0,113,2.8,0.4,1.2,1.6,1.8,4.7,F
126,Jabari Walker,2.9,72,2023-24,21,POR,0,116,1.6,-0.9,0.6,0.3,1.2,1.2,F
127,Andrew Wiggins,2.8,71,2023-24,28,GSW,0,117,1.6,-1.2,0.6,0.6,1.1,1.9,F-G
