Rk,Season,Team,G,W,L,W/L%,MOV,SOS,SRS,Pace,DRtg,DRB%,eFG%,TS%,TOV%,ORB%,FTr
8,2013-14,SAS,82,62,20,0.756,7.72,0.28,8,95,102.4,76.4,0.482,0.519,12.8,23.6,0.242
13,2013-14,OKC,82,59,23,0.72,6.34,0.32,6.66,95.4,103.9,75.6,0.488,0.528,13.9,24.4,0.304
22,2013-14,LAC,82,57,25,0.695,6.98,0.3,7.27,95.9,104.8,72.5,0.484,0.527,13.8,27.5,0.294
29,2013-14,IND,82,56,26,0.683,4.4,-0.77,3.63,92.5,99.3,76.8,0.46,0.501,12.9,23.2,0.261
37,2013-14,HOU,82,54,28,0.659,4.56,0.5,5.06,96.3,106.3,74.1,0.489,0.527,12.5,25.9,0.255
38,2013-14,MIA,82,54,28,0.659,4.76,-0.61,4.15,91.2,105.8,73,0.511,0.549,15.8,27,0.283
39,2013-14,POR,82,54,28,0.659,3.99,0.45,4.44,94.9,107.4,74.7,0.488,0.526,11,25.3,0.253
66,2013-14,GSW,82,51,31,0.622,4.8,0.34,5.15,96.2,102.6,76.3,0.477,0.522,13.6,23.7,0.292
73,2013-14,MEM,82,50,32,0.61,1.57,0.61,2.18,89.9,104.6,75.7,0.497,0.535,13.8,24.3,0.259
85,2013-14,DAL,82,49,33,0.598,2.4,0.5,2.91,93.5,108.7,72.7,0.515,0.555,14.8,27.3,0.303
103,2013-14,CHI,82,48,34,0.585,1.85,-0.66,1.2,90.2,100.5,75.4,0.471,0.509,13.7,24.6,0.25
104,2013-14,PHX,82,48,34,0.585,2.63,0.39,3.02,95.8,106.7,73.7,0.496,0.541,13.9,26.3,0.309
105,2013-14,TOR,82,48,34,0.585,3.24,-0.69,2.55,91.8,105.3,74.9,0.493,0.537,14.1,25.1,0.315
144,2013-14,BKN,82,44,38,0.537,-1,-0.58,-1.58,91.4,107.7,72.3,0.509,0.551,14.9,27.7,0.311
145,2013-14,WAS,82,44,38,0.537,1.27,-0.79,0.48,93.2,104.6,75.7,0.504,0.545,15,24.3,0.288
154,2013-14,CHA,82,43,39,0.524,-0.22,-0.67,-0.89,92.4,103.8,77.6,0.491,0.526,12.6,22.4,0.241
187,2013-14,MIN,82,40,42,0.488,2.67,0.43,3.1,97.3,106.2,74.4,0.518,0.55,14.8,25.6,0.233
200,2013-14,ATL,82,38,44,0.463,-0.48,-0.4,-0.88,94.6,106.4,74.4,0.51,0.545,14,25.6,0.262
206,2013-14,NYK,82,37,45,0.451,-0.79,-0.61,-1.4,90.3,109.1,74.3,0.514,0.558,14,25.7,0.32
213,2013-14,DEN,82,36,46,0.439,-2.15,0.75,-1.4,98.1,108.2,74.5,0.5,0.543,12.8,25.5,0.306
228,2013-14,NOP,82,34,48,0.415,-2.71,0.73,-1.98,92.2,110.1,73.8,0.515,0.558,13.6,26.2,0.331
242,2013-14,CLE,82,33,49,0.402,-3.29,-0.57,-3.86,93.1,107.7,75.8,0.508,0.545,13,24.2,0.263
265,2013-14,DET,82,29,53,0.354,-3.66,-0.48,-4.13,94.9,109.7,73.4,0.52,0.559,13.8,26.6,0.288
268,2013-14,SAC,82,28,54,0.341,-2.9,0.82,-2.08,94.4,108.8,76.6,0.512,0.552,12.7,23.4,0.318
