Rk,Season,Team,G,W,L,W/L%,DRB,STL,BLK,PF,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,AST,TOV,PTS
8,2013-14,SAS,82,62,20,0.756,34,7.4,5.1,18.2,37.8,85.1,31.3,66.8,6.5,18.3,15.7,20.6,10.5,20.4,13.9,97.6
13,2013-14,OKC,82,59,23,0.72,33.9,8.3,6.1,22.7,36.4,83.4,27.8,59.4,8.6,24,18.4,25.4,11,21.8,15.2,99.8
22,2013-14,LAC,82,57,25,0.695,32.5,8.6,4.8,21.5,37.4,84.9,30.2,63,7.3,21.8,18.9,25,12.3,23.3,15.4,101
29,2013-14,IND,82,56,26,0.683,34.5,6.7,5.4,20.4,34.8,82.7,28.2,63.7,6.6,19,16.3,21.6,10.4,18.6,13.7,92.3
37,2013-14,HOU,82,54,28,0.659,34.1,7.6,5.6,20.4,39,88,30.9,65,8.1,23,17,22.5,11.9,22.2,14,103.1
38,2013-14,MIA,82,54,28,0.659,29.2,8.9,4.5,19.5,36.1,79,27.6,55.6,8.5,23.4,16.8,22.3,10.8,21.4,16.7,97.4
39,2013-14,POR,82,54,28,0.659,34,5.5,4.7,19.2,39.6,87.8,33.1,69.5,6.5,18.3,17,22.2,11.5,20.4,12,102.8
66,2013-14,GSW,82,51,31,0.622,34.4,7.8,5,21.8,36.8,84.4,29.9,64.2,6.9,20.2,18.9,24.7,10.7,20.5,15,99.5
73,2013-14,MEM,82,50,32,0.61,30.8,7.7,4.6,19.1,35.7,79.3,28.2,58.2,7.5,21.1,15.8,20.6,9.9,19.9,14.2,94.6
85,2013-14,DAL,82,49,33,0.598,30.7,8.6,4.3,20,37.8,81.4,29.5,58.4,8.3,23,18.7,24.6,11.5,22,16,102.4
103,2013-14,CHI,82,48,34,0.585,32.7,7.2,5.2,19.1,35,81.2,28.4,62.5,6.6,18.7,15.3,20.3,10.7,19.6,14.4,91.8
104,2013-14,PHX,82,48,34,0.585,31.7,8.4,4.6,21.9,38,83.4,31.2,63.5,6.8,19.9,19.8,25.8,11.3,20.3,15.3,102.6
105,2013-14,TOR,82,48,34,0.585,31.1,7,4.2,23,36.1,80.2,29.1,60.9,6.9,19.2,19,25.3,10.4,21,14.9,98
144,2013-14,BKN,82,44,38,0.537,29.4,8.6,3.8,21.7,36.3,79.4,28.3,57.4,8.1,22,18.8,24.7,11.2,21,15.8,99.5
145,2013-14,WAS,82,44,38,0.537,31.4,8.1,4.6,20.4,37,80.9,29.6,59.4,7.5,21.5,17.8,23.3,10.1,22.2,16,99.4
154,2013-14,CHA,82,43,39,0.524,33.2,6.1,5.1,18.2,36.9,83.4,28.7,61.4,8.1,22,15.3,20.1,9.6,21,13.3,97.1
187,2013-14,MIN,82,40,42,0.488,32.2,8.8,3.6,18.3,40.5,86,32.4,63.8,8.1,22.2,15.2,20.1,11.1,22.9,16.4,104.3
200,2013-14,ATL,82,38,44,0.463,31.3,8.3,4,19.2,38.6,83.5,30.6,61.6,8,21.9,16.4,21.9,10.8,23.2,15.2,101.5
206,2013-14,NYK,82,37,45,0.451,29.7,7.7,4.5,22.1,35.8,78.1,27.1,54.6,8.7,23.4,19.1,25,10.3,19.7,14.5,99.4
213,2013-14,DEN,82,36,46,0.439,33.1,7.5,5.6,23,39.5,86.4,32.1,65.4,7.4,21,20.2,26.4,11.3,22.5,14.4,106.5
