#,Player,Height,Wingspan,Length
1,"Talen Horton-Tucker
UTA | SG","6'2.5""","7'1.25""",10.75
2,"Mo Bamba
PHI | C","6'11.25""","7'10""",10.75
3,"Jalen Williams
OKC | SG","6'4.5""","7'2.25""",9.75
4,"Isaiah Stewart
DET | C","6'7.25""","7'4.75""",9.5
5,"Robert Williams III
POR | C","6'8""","7'5.5""",9.5
6,"Udoka Azubuike
PHX | C","6'10""","7'7.25""",9.25
7,"Kawhi Leonard
LAC | SF","6'6""","7'3""",9
8,"Frank Ntilikina
| PG","6'4""","7'1""",9
9,"Bilal Coulibaly
WAS | SF","6'6""","7'2.5""",9
10,"Josh Okogie
PHX | SF","6'3""","7'0""",9
11,"Nassir Little
PHX | SF","6'4.5""","7'1.25""",8.75
12,"Reggie Jackson
DEN | PG","6'2.5""","6'11.25""",8.75
13,"Donovan Mitchell
CLE | SG","6'1.25""","6'10""",8.75
14,"Andre Drummond
CHI | C","6'9.75""","7'6.25""",8.5
15,"Thomas Bryant
MIA | C","6'9.5""","7'6""",8.5
16,"Kelly Oubre Jr.
PHI | SF","6'5.75""","7'2.25""",8.5
17,"Wendell Moore Jr.
MIN | SG","6'4.25""","7'0.75""",8.5
18,"Oscar Tshiebwe
IND | C","6'7.25""","7'3.5""",8.25
19,"Shake Milton
NYK | SG","6'4.5""","7'0.75""",8.25
20,"Jarrett Allen
CLE | C","6'9""","7'5.25""",8.25
21,"Moses Moody
GSW | SG","6'4.5""","7'0.75""",8.25
22,"DeAndre Jordan
DEN | C","6'9.75""","7'6""",8.25
23,"Anthony Davis
LAL | C","6'9.25""","7'5.5""",8.25
24,"Jerami Grant
POR | PF","6'6.5""","7'2.75""",8.25
25,"Keita Bates-Diop
BKN | PF","6'7.25""","7'3.25""",8
26,"Brandon Ingram
NOP | SF","6'7""","7'3""",8
27,"OG Anunoby
NYK | SF","6'6.25""","7'2.25""",8
28,"Jordan Walsh
BOS | SF","6'5.75""","7'1.75""",8
29,"P.J. Washington
DAL | PF","6'6.5""","7'2.5""",8
30,"Victor Wembanyama
SAS | C","7'4""","8'0""",8
31,"Rudy Gobert
MIN | C","7'0.5""","7'8.5""",8
32,"Jarace Walker
IND | PF","6'6.5""","7'2.5""",8
33,"Chris Boucher
TOR | C","6'8""","7'4""",8
34,"Keyontae Johnson
OKC | SF","6'4""","7'0""",8
35,"Wendell Carter Jr.
ORL | C","6'8.75""","7'4.5""",7.75
36,"Kevin Durant
PHX | PF","6'9""","7'4.75""",7.75
37,"Ryan Rollins
MIL | PG","6'2""","6'9.75""",7.75
38,"Miles McBride
NYK | PG","6'1""","6'8.75""",7.75
39,"Norman Powell
LAC | SG","6'3""","6'10.75""",7.75
40,"Terry Rozier
MIA | PG","6'0.5""","6'8.25""",7.75
41,"Aaron Holiday
HOU | PG","5'11.75""","6'7.5""",7.75
42,"Scottie Barnes
TOR | SF","6'7""","7'2.75""",7.75
43,"Robert Covington
PHI | PF","6'6.25""","7'1.75""",7.5
44,"MarJon Beauchamp
MIL | SG","6'5.25""","7'0.75""",7.5
45,"Draymond Green
GSW | PF","6'5.75""","7'1.25""",7.5
46,"Kevon Looney
GSW | C","6'8""","7'3.5""",7.5
47,"Bones Hyland
LAC | PG","6'2""","6'9.5""",7.5
48,"Jaren Jackson Jr.
MEM | PF","6'9.75""","7'5.25""",7.5
49,"Marcus Smart
MEM | PG","6'2""","6'9.25""",7.25
